Periodo,Exportaciones,Importaciones
1993/01,34,7750
1993/02,37,5619
1993/03,43,7372
1993/04,66,5995
1993/05,45,3536
1993/06,42,1203
1993/07,65,633
1993/08,2335,6605
1993/09,611,11830
1993/10,2341,4365
1993/11,110,8633
1993/12,495,6184
1994/01,162,3613
1994/02,116,7119
1994/03,3800,17245
1994/04,124,24253
1994/05,40,22063
1994/06,47,31438
1994/07,16,28816
1994/08,4,32770
1994/09,46,34122
1994/10,115,33170
1994/11,34,44822
1994/12,124,90095
1995/01,134,17892
1995/02,168,9991
1995/03,333,21890
1995/04,2063,21878
1995/05,3022,22606
1995/06,6049,14316
1995/07,54,15553
1995/08,412,44425
1995/09,81,41979
1995/10,311,51674
1995/11,166,51697
1995/12,439,62243
1996/01,239,66331
1996/02,301,77978
1996/03,6351,90368
1996/04,5548,134111
1996/05,167,136234
1996/06,122,110920
1996/07,3682,144510
1996/08,15,57215
1996/09,38,52142
1996/10,34,76896
1996/11,224,59346
1996/12,916,57430
1997/01,341,11615
1997/02,347,17770
1997/03,1823,26241
1997/04,2450,30330
1997/05,321,47711
1997/06,512,56152
1997/07,375,24419
1997/08,188,19941
1997/09,2733,41877
1997/10,68,22087
1997/11,4362,27785
1997/12,7874,33297
1998/01,8306,22320
1998/02,4320,46391
1998/03,8823,67986
1998/04,523,73589
1998/05,3443,56625
1998/06,5211,45820
1998/07,159,40575
1998/08,3102,46425
1998/09,1016,63142
1998/10,68,35665
1998/11,86,45923
1998/12,273,79671
1999/01,232,26058
1999/02,1257,34575
1999/03,1296,95924
1999/04,537,74683
1999/05,885,75976
1999/06,375,52313
1999/07,1982,28740
1999/08,183,38522
1999/09,234,87573
1999/10,577,19247
1999/11,333,28849
1999/12,174,38175
2000/01,140,11030
2000/02,284,28337
2000/03,451,62144
2000/04,1096,54260
2000/05,723,99023
2000/06,228,27242
2000/07,110,17031
2000/08,254,51618
2000/09,82,93693
2000/10,310,18216
2000/11,85,30737
2000/12,116,56491
2001/01,129,10344
2001/02,278,33848
2001/03,566,143952
2001/04,536,91502
2001/05,876,43453
2001/06,337,5281
2001/07,368,31734
2001/08,81,81856
2001/09,95,111626
2001/10,152,37628
2001/11,142,31778
2001/12,245,21862
2002/01,603,7842
2002/02,493,31699
2002/03,601,99289
2002/04,1754,55686
2002/05,926,42537
2002/06,196,77880
2002/07,10428,1144
